alpha_boost,beta_suppress,coh_delta,coh_se,coh_gen,coh_dir,reach_delta,help_delta
0.02,0.0,0.0360051431572758,0.0031037708783251874,0.9645243187814612,0.9285191756241855,8.8125,-35.125
0.02,0.01,0.030145270087593025,0.00252563702725062,0.9655828200617216,0.9354375499741286,7.375,-20.25
0.02,0.02,0.027171800570388933,0.0018528885183226253,0.9655262252200247,0.9383544246496358,7.875,-22.875
0.02,0.03,0.0245532266244887,0.0017864458946591523,0.9636174722095021,0.9390642455850133,7.0,-20.5
0.02,0.05,0.017856853853751388,0.0013551349040256467,0.9610802256462896,0.9432233717925381,5.5625,-14.1875
0.02,0.08,0.016678744630466244,0.0019694775428297424,0.960472351567484,0.9437936069370179,4.75,-11.0625
0.02,0.12,0.011919078502245918,0.0016069514978524588,0.9584882516090953,0.9465691731068495,3.6875,-11.125
0.04,0.0,0.06215470657776221,0.004984502342171367,0.9654509589293362,0.903296252351574,8.875,-102.4375
0.04,0.01,0.04301289298262723,0.004110833133537571,0.9645084197226526,0.9214955267400253,9.75,-42.75
0.04,0.02,0.037119833460968164,0.002565443385416609,0.9644529529249647,0.9273331194639965,9.0,-36.75
0.04,0.03,0.032863291614252554,0.0022872028191362015,0.9645436814719051,0.9316803898576524,8.5625,-26.1875
0.04,0.05,0.024906036133530138,0.002710621498290532,0.9621763905322406,0.9372703543987105,6.8125,-13.4375
0.04,0.08,0.02210865035648355,0.002733124338409363,0.9613189670747404,0.9392103167182568,5.1875,-17.75
0.04,0.12,0.01751427358600756,0.0035973127771718686,0.9575675518920042,0.9400532783059966,4.25,-14.5
0.06,0.0,0.0876854802259473,0.004775432899667896,0.9659151415720219,0.8782296613460745,10.125,-233.6875
0.06,0.01,0.062431065008104664,0.0041790560106133405,0.9657678098746834,0.9033367448665786,10.0,-104.875
0.06,0.02,0.05263563527035672,0.003957821609485802,0.9644468179229643,0.9118111826526076,8.9375,-63.6875
0.06,0.03,0.0432493398537137,0.0037685013313495416,0.9644661087532632,0.9212167688995495,7.4375,-44.5625
0.06,0.05,0.03903791649687389,0.005118445926615807,0.9616132530818602,0.9225753365849862,5.75,-42.3125
0.06,0.08,0.029966023588950723,0.0024047993511737763,0.9613526751656487,0.931386651576698,6.625,-27.375
0.06,0.12,0.024984987920340776,0.003118328940445657,0.9596965892875498,0.934711601367209,5.5625,-23.75
0.08,0.0,0.09246246125952881,0.003279486617950821,0.9664664789088468,0.874004017649318,11.125,-432.125
0.08,0.01,0.07916136993051084,0.003927357676210202,0.9656550749449584,0.8864937050144476,8.75,-177.75
0.08,0.02,0.061784457077493256,0.004068866554675088,0.9638564623341125,0.9020720052566192,7.625,-115.3125
0.08,0.03,0.05785452417159094,0.004154438079789667,0.9639254557430745,0.9060709315714837,7.0625,-86.9375
0.08,0.05,0.04909173383882447,0.003921993704781332,0.9641446435814551,0.9150529097426306,7.625,-57.5
0.08,0.08,0.03539712141697855,0.003965284931784138,0.9619697847339026,0.9265726633169241,7.125,-35.6875
0.08,0.12,0.03295824478967644,0.004786392408472784,0.95986186618206,0.9269036213923836,4.625,-36.5
0.1,0.0,0.08990430935321181,0.0019417599872517712,0.9673620269443512,0.8774577175911396,12.0,-635.5625
0.1,0.01,0.09473365392851527,0.0031402752097542484,0.9657507877878615,0.8710171338593462,9.5625,-260.5
0.1,0.02,0.08407481579854208,0.003215804910879287,0.9644015583312993,0.880326742532757,8.625,-175.75
0.1,0.03,0.08097209283620119,0.003820187258998733,0.9657784859356828,0.8848063930994816,8.0,-159.9375
0.1,0.05,0.0626429269936384,0.0032294548996695737,0.9638352347531147,0.9011923077594763,7.3125,-97.25
0.1,0.08,0.04301885956976981,0.004412791116728735,0.9610282352997507,0.9180093757299809,6.4375,-64.9375
0.1,0.12,0.04293776542964942,0.004935616029239894,0.9604807886881069,0.9175430232584576,5.625,-64.0
